ProductID,ArrivalTime,WaitTime,Turnaround,Station1_Entry,Station1_Exit,Station2_Entry,Station2_Exit,Station3_Entry,Station3_Exit
1,0.001,0.001,1.504,0.001,0.401,0.403,1.003,1.004,1.505,
2,0.120,0.001,1.986,0.403,0.803,1.004,1.605,1.605,2.106,
3,0.260,0.402,2.448,0.804,1.204,1.605,2.206,2.207,2.708,
4,0.380,0.804,2.929,1.205,1.605,2.207,2.808,2.808,3.309,
5,0.540,1.404,3.370,1.606,2.007,2.808,3.409,3.410,3.910,
6,0.720,1.806,3.792,2.007,2.407,3.410,4.011,4.011,4.512,
7,0.900,1.806,4.214,2.408,2.808,4.012,4.612,4.613,5.114,
8,1.100,2.807,4.615,2.809,3.209,4.612,5.213,5.214,5.715,
9,1.300,2.807,5.015,3.209,3.610,5.214,5.814,5.815,6.315,
10,1.500,3.808,5.415,3.610,4.011,5.815,6.415,6.415,6.916,
